,cat1,cat10,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,favorite_count,hour,image,level,nadj,nadv,nemoji,nlevel,nword,orginal,padj,padv,pemoji,plevel,pnoun,punc1,punc2,punc3,pword,question,result,retweets_count,sarcasm,sentiment,tweet_id,url,user_name
1509,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9927,0,0,1155804511719628800,0,homoerocity
1510,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,107899,0,1,1155804117262114816,0,homoerocity
1511,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1155718451408904192,1,mamigabss
1512,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,-1,0,-1,0,0,0,0,0,0,1,2,2,0,0,1,0,53682,0,-1,1155707966798127104,1,mamigabss
1513,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,1155782111854583808,0,SeigiNoSekai
1514,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1155587845253414912,0,SeigiNoSekai
1515,0,0,0,0,0,0,2,0,0,0,0,20,0,0,1,-1,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,6867,0,-1,1154855949322072064,0,LisaBloor
1516,0,0,0,0,0,0,0,0,0,0,1,19,0,0,1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1154842797532504064,1,LisaBloor
1517,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31564,0,0,1152116998199025664,0,HollyTout
1518,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,-1,1150070839183720448,0,HollyTout
1519,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1155798877913722880,0,positiveyousoro
1520,0,0,0,0,0,0,0,0,0,0,1,9,0,0,3,-1,0,-1,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,-1,1155768677985378304,1,positiveyousoro
1521,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155625683965661184,0,haIfsun
1522,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4782,0,0,1155548921848115200,1,haIfsun
1523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1155641740092514304,0,IcyFevrier
1524,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1,0,0,0,1,0,0,0,0,1,1155630863901589504,1,IcyFevrier
1525,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,1,0,0,1,0,1,3,0,1,0,1,1,0,215230,0,1,1155801591800184832,0,MuhdAliff_Akmal
1526,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28810,0,0,1155801553879498752,1,MuhdAliff_Akmal
1527,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155678460293124096,0,TheHeathonist
1528,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,-1,0,-1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1155677395829108736,0,TheHeathonist
1529,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,24986,0,1,1151864325910347776,0,etherealjeons
1530,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24479,0,0,1151859053678608384,0,etherealjeons
1531,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,826,0,1,1155649578215063552,0,felixukun
1532,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,1155649555393896448,0,felixukun
1533,0,0,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0,0,1,0,0,15219,0,1,1155786085386997760,1,Nurhanisah__
1534,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12269,0,0,1155752047137869824,0,Nurhanisah__
1535,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,-1,1136660875899748352,0,shaisravens
1536,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1125456599567486976,0,shaisravens
1537,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,1048033349774860288,0,GTHTonWinfield
1538,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,-1,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1048032773292916736,1,GTHTonWinfield
1539,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0,0,1,0,0,1,0,1,1155766888934170624,0,eva_clays
1540,0,1,0,0,0,0,0,0,0,0,0,9,0,0,2,-1,0,-1,1,0,0,0,0,0,2,0,0,0,1,0,0,176,0,-1,1155766080536625152,0,eva_clays
1541,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152691888291532800,0,KellyCorrigan9
1542,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,12104,0,1,1143290359641980928,0,KellyCorrigan9
1543,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153784414049976320,1,IgboDoll
1544,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153780080356859904,1,IgboDoll
1545,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1154091705282572288,0,HailsHayley
1546,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1154091095799795712,0,HailsHayley
1547,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,9542,0,1,1155725397843046400,1,mariafollosco
