,retweet_count,fav_count,tweet_hour,usr_mention_count,dot_count,ques_count,excla_count,Pers_pronouns,Pronouns,happy_emoticons,sad_emoticons,cont_dot_count,cont_ques_count,cont_excla_count,Positive_Words,Negative_Words,posadj,negadj,posadv,negadv,Stress,Family_words,Affection_Words,Academics_count,Positive_Emotion_count,Negative_Emotion_count,Work_count,Office_count,,,,
,0,0,23,0,3,1,0,5,5,0,0,0,0,0,4,5,1,0,0,0,1,0,0,0,0,2.43137254901961,0,0,,,,
,0,0,23,0,2,1,0,7,8,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1.27906976744186,0,0,,,,
,4,0,22,2,5,0,0,6,7,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,0,1.18867924528302,0,0,,,,
,3,0,22,1,1,0,0,7,10,0,0,0,0,0,2,1,1,0,0,0,1,1.15094339622642,0,0,0,0,0,0,,,,
,0,2,22,2,0,0,0,4,8,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,3.1,0,0,0,,,,
,0,8,22,0,11,0,0,6,7,0,0,1,0,0,4,1,1,0,0,0,1,0,0,0,1.35185185185185,0,0,0,,,,
,2,0,22,1,2,0,0,6,6,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,1.05769230769231,0,0,0,,,,
,0,0,22,3,7,0,0,5,8,0,0,3,0,0,1,2,1,0,0,0,1,0,0,0,0,1.125,0,0,,,,
,0,9,22,0,4,0,0,7,8,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,,,,
,0,2,22,0,3,0,0,1,1,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,,,,
,0,1,22,1,5,0,0,8,9,0,0,0,0,0,3,0,1,0,0,0,1,1.14545454545455,0,0,1.14545454545455,0,0,0,,,,
,0,0,22,1,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,,,,
,0,1,22,0,3,1,0,7,7,0,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,
,0,0,22,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,
,0,1,22,1,0,0,0,7,8,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,
,4,0,22,1,6,0,0,6,8,0,0,0,0,0,1,3,1,0,0,0,1,2.48,0,0,1.24,1.24,0,0,,,,
,1,0,22,2,1,0,1,3,4,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,1.31111111111111,0,0,0,,,,
