,cat1,cat10,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,favorite_count,hour,image,nadj,nadv,nemoji,nlevel,nword,orginal,padj,padv,pemoji,plevel,pnoun,punc1,punc2,punc3,pword,question,retweets_count,sarcasm,sentiment,url
1230,0,0,0,0,0,0,0,0,0,0,3,7,1,0,-1,1,-1,1,1,0,0,0,0,0,0,0,0,1,0,113371,0,-1,0
1231,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,150,0,0,0
1232,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,6,6,3,3,0,3,3,0,0,0,6,0,0,0,3,6
1233,0,0,0,0,0,0,0,0,0,0,315,69,0,0,0,0,0,3,6,0,3,0,3,3,0,3,0,3,3,51,0,3,6
1234,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,2,2,3,2,0,2,2,0,0,1,2,0,0,0,2,1
1235,0,0,0,0,0,0,0,0,0,0,3,18,0,1,-1,0,-1,1,1,1,1,0,1,1,1,0,1,1,0,1298,0,0,1
1236,0,0,0,0,0,0,0,0,0,1,3,31,0,0,0,1,0,1,2,0,1,1,1,1,0,0,0,1,0,0,0,1,0
1237,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1411,0,0,0
1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1239,0,0,0,0,0,0,0,0,0,1,0,18,0,2,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,538,0,-2,0
1240,0,0,0,0,0,0,0,4,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82560,0,0,0
1241,0,1,1,0,0,0,0,0,0,1,1,8,0,0,0,0,0,2,1,1,2,0,2,1,0,0,0,2,0,1,0,2,0
1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1243,1,0,1,0,1,0,0,0,0,0,3,6,1,0,0,0,0,1,1,1,1,0,1,3,0,0,0,1,0,70,0,1,0
1244,0,0,0,1,0,1,0,0,0,0,1,11,0,0,0,0,0,3,2,2,2,0,2,1,0,0,0,3,0,0,0,2,0
1245,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,1,0,721,0,1,1
1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0
1247,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,1
1248,0,0,0,0,0,0,0,0,0,0,0,21,1,1,-1,0,-1,2,1,1,1,0,1,3,0,0,0,2,0,33851,0,0,2
1249,0,0,0,0,0,0,0,0,0,0,0,32,0,1,-1,0,-1,1,2,0,1,1,1,5,0,0,0,1,0,0,0,0,0
1250,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1
1251,0,0,0,0,0,0,0,0,0,0,0,43,2,1,-1,0,-1,2,1,0,0,0,0,0,0,0,0,2,0,67,0,-1,0
1252,0,0,0,0,0,0,0,0,0,0,0,18,1,0,-1,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1,0
1253,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1254,0,0,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,2,2,1,2,0,2,1,0,0,0,2,0,0,0,2,0
1255,0,0,0,0,0,0,0,2,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8269,0,0,0
1256,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1257,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,1,0,1,2,0,1,1,1,5,1,0,0,1,0,0,0,1,0
1258,0,0,0,0,0,0,0,0,0,0,0,18,0,1,-1,0,-1,1,2,0,1,1,1,2,0,0,0,1,0,0,0,0,0
1259,0,0,0,1,0,0,0,0,0,0,0,18,0,1,-1,1,-1,2,1,0,1,0,1,1,0,0,0,2,0,7846,0,0,0
1260,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,22,0,0,1
1261,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0
1262,0,0,0,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5698,0,0,0
1263,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,2,0,1,0,1,1
1264,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,2,2,0,2,0,2,3,0,0,0,2,0,2,0,2,2
1265,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,48689,0,0,1
1266,1,0,0,1,0,0,1,0,0,0,3,10,0,0,0,0,0,2,2,1,1,0,1,7,0,0,0,2,0,2,0,1,0
1267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1268,2,0,0,0,0,0,0,0,0,0,2,42,0,0,0,0,0,6,2,4,4,0,4,8,4,0,0,6,0,4,0,4,0
1269,0,0,0,0,0,0,0,0,0,0,13,22,1,0,0,0,0,2,2,0,2,0,2,7,2,0,1,2,0,6,0,2,1
1270,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,2,2,0,2,0,2,5,0,0,0,2,0,0,0,2,0
1271,0,0,0,0,0,0,0,0,0,0,0,22,0,1,-1,0,-1,0,1,0,0,0,0,4,0,0,1,0,0,31,0,-1,0
1272,0,0,0,1,0,0,1,0,0,0,20,34,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1
1273,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276,0,0,8,0,0,0,0,0,0,0,0,337,0,0,0,0,0,29,30,15,22,0,22,8,0,0,0,29,0,0,0,22,0
1277,0,0,0,0,0,0,0,0,0,0,2,22,1,0,0,0,0,3,2,0,2,0,2,5,0,1,0,3,1,0,0,2,0
