image,url,question,original,pnoun,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,pword,nword,pemoji,nemoji,pun1,pun2,pun3,padv,nadv,favorite_count,retweets_count,hour,level,result
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,1,0,2,-0.038461538,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,2,-0.090909091,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0,0,0,2,-0.035714286,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,2,-0.095238095,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.041666667,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,1,-0.04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.25,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,12,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0,5,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,-0.111111111,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,5,5,0,0,0,0,0,1,0,0,54,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071428571,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111111111,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,4,4,1,0,0,0,0,1,0,2,0,0,-0.038461538,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,12,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,5,5,0,0,0,0,0,1,0,0,54,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
